companyname,avg
Bird,4134.142526822613
Bolt Mobility,8094.324011877569
Gotcha,11292.679897633327
JUMP,5986.01236600901
Lime,4198.204511909038
Lyft,6474.656539948922
SPIN,2898.7018515552977
