original_startlatitude,original_startlongitude,original_trip_count,distance,formatted,lat,lon,name,housenumber,street,zipcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url,,,,,,
36.094397,-86.804016,1,163.5293153,"J.T. Moore Middle School, 4425 Granny White Pike, Nashville-Davidson, TN 37215, United States of America",36.09523195,-86.80251775,J.T. Moore Middle School,4425,Granny White Pike,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.094599,-86.802433,1,0,"J.T. Moore Middle School, 4425 Granny White Pike, Nashville-Davidson, TN 37215, United States of America",36.09523195,-86.80251775,J.T. Moore Middle School,4425,Granny White Pike,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.094688,-86.80381,1,10.5907388,"J.T. Moore Middle School, 4425 Granny White Pike, Nashville-Davidson, TN 37215, United States of America",36.09523195,-86.80251775,J.T. Moore Middle School,4425,Granny White Pike,37215,,Midtown,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.095048,-86.803781,1,6.95121672,"J.T. Moore Middle School, 4425 Granny White Pike, Nashville-Davidson, TN 37215, United States of America",36.09523195,-86.80251775,J.T. Moore Middle School,4425,Granny White Pike,37215,,Midtown,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.095431,-86.803597,1,0,"J.T. Moore Middle School, 4425 Granny White Pike, Nashville-Davidson, TN 37215, United States of America",36.09523195,-86.80251775,J.T. Moore Middle School,4425,Granny White Pike,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.096678,-86.805819,1,15.6951363,"4498 Belmont Park Terrace, Nashville-Davidson, TN 37215, United States of America",36.096813,-86.805768,,4498,Belmont Park Terrace,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.098387,-86.791398,1,13.93673604,"1029 St Andrews Place, Nashville-Davidson, TN 37204, United States of America",36.09851012,-86.79142702,,1029,St Andrews Place,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.098592,-86.814936,1,6.359866164,"2007 Overhill Drive, Nashville-Davidson, TN 37215, United States of America",36.09854112,-86.81490367,,2007,Overhill Drive,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.099008,-86.821107,1,4.909136042,"The Church of Jesus Christ of Latter-day Saints, Hillsboro Pike, Nashville-Davidson, TN 37215, United States of America",36.0983128,-86.82091366,The Church of Jesus Christ of Latter-day Saints,,Hillsboro Pike,37215,,Midtown,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.099016,-86.821046,1,2.092835519,"The Church of Jesus Christ of Latter-day Saints, Hillsboro Pike, Nashville-Davidson, TN 37215, United States of America",36.0983128,-86.82091366,The Church of Jesus Christ of Latter-day Saints,,Hillsboro Pike,37215,,Midtown,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
